2020001 14616
2020002 81984
2020003 45276
2020004 66948
2020005 54180
2020006 9996
2020007 27132
2020008 14280
2020009 67956
2020010 47460
2020011 71904
2020012 54516
2020013 26208
2020014 54432
2020015 39060
2020016 47712
2020017 2688
2020018 69132
2020019 66276
2020020 75600
2020021 48300
2020022 47208
2020023 28308
2020024 61320
2020025 33516
2020026 31164
2020027 44352
2020028 46452
2020029 37548
2020030 8652
2020031 68544
2020032 44100
2020033 47376
2020034 28728
2020035 38892
2020036 76272
2020037 20412
2020038 77784
2020039 32592
2020040 3612
2020041 15120
2020042 47040
2020043 62328
2020044 37380
2020045 40740
2020046 68376
2020047 38136
2020048 33348
2020049 7560
2020050 1008
2020051 29736
2020052 4368
2020053 18984
2020054 37212
2020055 33684
2020056 20916
2020057 19740
2020058 52920
2020059 23016
2020060 12516
2020061 4788
2020062 79044
2020063 32172
2020064 3108
2020065 69300
2020066 54096
2020067 48468
2020068 80556
2020069 43428
2020070 49392
2020071 62580
2020072 36288
2020073 65268
2020074 73668
2020075 44688
2020076 8232
2020077 33012
2020078 64596
2020079 34272
2020080 22176
2020081 30744
2020082 18564
2020083 4200
2020084 23436
2020085 25620
2020086 58548
2020087 68208
2020088 11844
2020089 81396
2020090 3948
2020091 41832
2020092 83412
2020093 56700
2020094 70224
2020095 26796
2020096 81816
2020097 3192
2020098 1512
2020099 46704
2020100 7812
2020101 8736
2020102 65100
2020103 44940
2020104 31668
2020105 50988
2020106 83076
2020107 32760
2020108 66024
2020109 14196
2020110 5544
2020111 55020
2020112 6804
2020113 31332
2020114 82236
2020115 43764
2020116 53760
2020117 16884
2020118 11004
2020119 76608
2020120 8904
2020121 78120
2020122 78624
2020123 48636
2020124 75012
2020125 49056
2020126 63504
2020127 21924
2020128 6300
2020129 56532
2020130 252
2020131 9912
2020132 59724
2020133 78372
2020134 7056
2020135 8988
2020136 32340
2020137 28392
2020138 27216
2020139 75684
2020140 33768
2020141 26124
2020142 72240
2020143 51492
2020144 35028
2020145 20580
2020146 48804
2020147 37884
2020148 59976
2020149 44604
2020150 7980
2020151 3024
2020152 50904
2020153 19572
2020154 75936
2020155 36120
2020156 25368
2020157 82152
2020158 40656
2020159 20328
2020160 80808
2020161 7644
2020162 70980
2020163 22092
2020164 24528
2020165 69636
2020166 76692
2020167 31584
2020168 82908
2020169 74256
2020170 80136
2020171 18900
2020172 31752
2020173 77616
2020174 73836
2020175 63840
2020176 54852
2020177 23940
2020178 82572
2020179 56280
2020180 30996
2020181 28056
2020182 27804
2020183 22764
2020184 74760
2020185 46200
2020186 61572
2020187 59892
2020188 62832
2020189 52248
2020190 26040
2020191 25116
2020192 46872
2020193 71652
2020194 59808
2020195 40404
2020196 13356
2020197 14448
2020198 77952
2020199 38808
2020200 40236
2020201 17472
2020202 50064
2020203 17640
2020204 13440
2020205 38220
2020206 41580
2020207 69384
2020208 16632
2020209 36036
2020210 74004
2020211 82992
2020212 21168
2020213 34608
2020214 68628
2020215 61488
2020216 7392
2020217 60732
2020218 69720
2020219 41412
2020220 9744
2020221 52836
2020222 74088
2020223 35616
2020224 34020
2020225 53340
2020226 12936
2020227 4620
2020228 48384
2020229 21000
2020230 79884
2020231 57372
2020232 31500
2020233 2940
2020234 75264
2020235 25788
2020236 34188
2020237 72660
2020238 5208
2020239 49980
2020240 52080
2020241 59052
2020242 76020
2020243 25704
2020244 80976
2020245 65520
2020246 12684
2020247 24612
2020248 22596
2020249 35196
2020250 8064
2020251 46284
2020252 11676
2020253 64932
2020254 66528
2020255 504
2020256 73500
2020257 75180
2020258 53592
2020259 45780
2020260 47124
2020261 69888
2020262 78960
2020263 9324
2020264 53928
2020265 42084
2020266 56112
2020267 51744
2020268 26292
2020269 62160
2020270 39648
2020271 65436
2020272 48216
2020273 30660
2020274 31248
2020275 16128
2020276 58716
2020277 44268
2020278 73332
2020279 58128
2020280 47880
2020281 66360
2020282 50736
2020283 63756
2020284 60564
2020285 67200
2020286 34524
2020287 60396
2020288 57456
2020289 56952
2020290 83244
2020291 29232
2020292 29484
2020293 41748
2020294 71232
2020295 30828
2020296 7896
2020297 56364
2020298 47964
2020299 29148
2020300 77028
2020301 77700
2020302 24108
2020303 58884
2020304 42504
2020305 67536
2020306 58380
2020307 23100
2020308 9492
2020309 32256
2020310 12012
2020311 6384
2020312 73248
2020313 8316
2020314 2856
2020315 46116
2020316 9828
2020317 57288
2020318 17724
2020319 77532
2020320 74424
2020321 60648
2020322 51912
2020323 80640
2020324 23268
2020325 71148
2020326 44856
2020327 50400
2020328 28560
2020329 79380
2020330 80304
2020331 49224
2020332 45864
2020333 4704
2020334 50316
2020335 33936
2020336 40824
2020337 26376
2020338 79800
2020339 47796
2020340 39480
2020341 83916
2020342 70560
2020343 29568
2020344 49812
2020345 42756
2020346 73080
2020347 5628
2020348 65184
2020349 6720
2020350 45696
2020351 61656
2020352 53844
2020353 39144
2020354 76860
2020355 38640
2020356 52416
2020357 72912
2020358 6888
2020359 67452
2020360 76356
2020361 45360
2020362 45612
2020363 11424
2020364 71400
2020365 14028
2020366 5124
2020367 69048
2020368 36792
2020369 83160
2020370 33096
2020371 72156
2020372 41664
2020373 61236
2020374 84
2020375 28644
2020376 21084
2020377 56028
2020378 76188
2020379 42840
2020380 23520
2020381 66444
2020382 21756
2020383 60900
2020384 24360
2020385 75768
2020386 15204
2020387 23604
2020388 34440
2020389 19656
2020390 52332
2020391 20076
2020392 25200
2020393 64764
2020394 10836
2020395 24780
2020396 18480
2020397 23688
2020398 62076
2020399 588
2020400 16548
2020401 75432
2020402 20496
2020403 79212
2020404 9660
2020405 67032
2020406 70392
2020407 69552
2020408 63672
2020409 15456
2020410 19908
2020411 6552
2020412 27300
2020413 70476
2020414 36708
2020415 70644
2020416 60060
2020417 15960
2020418 55608
2020419 66108
2020420 2772
2020421 10248
2020422 32424
2020423 28140
2020424 13524
2020425 11172
2020426 80724
2020427 82404
2020428 29988
2020429 38304
2020430 25536
2020431 67704
2020432 61404
2020433 43848
2020434 23184
2020435 20160
2020436 63084
2020437 14700
2020438 21252
2020439 3444
2020440 28476
2020441 24024
2020442 30324
2020443 58212
2020444 51240
2020445 38976
2020446 12768
2020447 40488
2020448 78456
2020449 42420
2020450 24192
2020451 56616
2020452 42252
2020453 35448
2020454 19992
2020455 26964
2020456 60984
2020457 16044
2020458 72492
2020459 68040
2020460 26460
2020461 73920
2020462 924
2020463 5040
2020464 15624
2020465 46368
2020466 46032
2020467 60312
2020468 12180
2020469 37968
2020470 35784
2020471 65604
2020472 49644
2020473 13272
2020474 17976
2020475 3360
2020476 8820
2020477 71484
2020478 51156
2020479 19068
2020480 41496
2020481 81060
2020482 81900
2020483 81228
2020484 75348
2020485 19320
2020486 52164
2020487 7224
2020488 3276
2020489 36624
2020490 69804
2020491 420
2020492 83748
2020493 63588
2020494 63168
2020495 3528
2020496 13692
2020497 33264
2020498 56448
2020499 64260
2020500 22680
2020501 83664
2020502 57120
2020503 25032
2020504 76944
2020505 9576
2020506 64848
2020507 74928
2020508 62748
2020509 57792
2020510 14784
2020511 25284
2020512 28896
2020513 18816
2020514 3780
2020515 60228
2020516 52584
2020517 51660
2020518 20664
2020519 22932
2020520 42588
2020521 45192
2020522 63336
2020523 48888
2020524 45444
2020525 56196
2020526 32004
2020527 30576
2020528 53256
2020529 28812
2020530 77448
2020531 41328
2020532 42336
2020533 69216
2020534 68712
2020535 34944
2020536 27888
2020537 7476
2020538 47628
2020539 34776
2020540 17052
2020541 60480
2020542 67872
2020543 58296
2020544 35112
2020545 3864
2020546 1680
2020547 59640
2020548 5460
2020549 5712
2020550 77868
2020551 66780
2020552 40068
2020553 69468
2020554 20748
2020555 47544
2020556 27720
2020557 72324
2020558 42000
2020559 67368
2020560 22428
2020561 55776
2020562 24276
2020563 1092
2020564 15372
2020565 54768
2020566 29400
2020567 1176
2020568 40992
2020569 75852
2020570 58800
2020571 61068
2020572 13104
2020573 53508
2020574 7728
2020575 39564
2020576 36876
2020577 23772
2020578 38388
2020579 18732
2020580 8400
2020581 53004
2020582 15792
2020583 53088
2020584 8148
2020585 9240
2020586 39984
2020587 2016
2020588 80220
2020589 15708
2020590 60816
2020591 38472
2020592 61992
2020593 37296
2020594 43092
2020595 59220
2020596 37800
2020597 20832
2020598 74844
2020599 21336
2020600 21840
2020601 72408
2020602 77280
2020603 25872
2020604 72996
2020605 76524
2020606 27972
2020607 13944
2020608 16212
2020609 44520
2020610 78792
2020611 78540
2020612 58632
2020613 30072
